Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
7SC00327 [PerfumersWorld],Nutmeg Essential Oil,,,PerfumersWorld,1.02,USD (per g),1.02
6SL18489 [PerfumersWorld],NUTMEG F-TEC ,,,PerfumersWorld,0.35,USD (per g),0.35
6SL09678 [PerfumersWorld],Nutmeg Fleuressence,,,PerfumersWorld,0.47,USD (per g),0.47
3MA22553 [PerfumersWorld],Nympheal,,,PerfumersWorld,0.61,USD (per g),0.61
6OV18034 [PerfumersWorld],O-ORCHID F-TEC ,,,PerfumersWorld,0.17,USD (per g),0.17
6OV09421 [PerfumersWorld],O-Orchid Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
5YH07549 [PerfumersWorld],Oakmoss Absolute  (IFRA Low Atranol) 10% in DPG,,,PerfumersWorld,0.35,USD (per g),0.35
8YH00328 [PerfumersWorld],Oakmoss Absolute (IFRA Low Atranol),,,PerfumersWorld,3.06,USD (per g),3.06
6YH18894 [PerfumersWorld],OAKMOSS F-TEC ,,,PerfumersWorld,0.76,USD (per g),0.76
6YH09092 [PerfumersWorld],Oakmoss Fleuressence,,,PerfumersWorld,0.70,USD (per g),0.70
