Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
"Grapefruit Acetal, Methyl Pamplemousse [MySkinRecipes]","Grapefruit Acetal, Methyl Pamplemousse",67674-46-8,,MySkinRecipes,8100.0,THB (per kg),8.1
Grapefruit Essential Oil Grapefruit Oil [SimpleScents],Grapefruit Essential Oil Grapefruit Oil,8016-20-4,,SimpleScents,360.0,THB (Unit),14.4
Grapefruit Nitrile (Khusinil) [MySkinRecipes],Grapefruit Nitrile (Khusinil),75490-39-0,,MySkinRecipes,30000.0,THB (per kg),30.0
"Green Acetate, Verdox, Argumex [MySkinRecipes]","Green Acetate, Verdox, Argumex",88-41-5,,MySkinRecipes,750.0,THB (per kg),0.75
"Green Ether, Anther, Phenyl Ethyl Isoamyl Ether [MySkinRecipes]","Green Ether, Anther, Phenyl Ethyl Isoamyl Ether",56011-02-0,,MySkinRecipes,7800.0,THB (per kg),7.8
Guaiac Wood Reco [SimpleScents],Guaiac Wood Reco,Mixture,,SimpleScents,80.0,THB (Unit),3.2
Guaiacol [PerfumersWorld],Guaiacol,90-05-1,,PerfumersWorld,0.19,USD (per g),6.46
Guaiacol 1% in TEC [PerfumersWorld],Guaiacol 1% in TEC,"2785-89-9|1.0
77-93-0|99.0",,PerfumersWorld,0.05,USD (per g),1.7
Guaiacol 10% in DPG [PerfumersWorld],Guaiacol 10% in DPG,"2785-89-9|10.0
25265-71-8|90.0",,PerfumersWorld,0.1,USD (per g),3.4
Guaiyl Acetate [MySkinRecipes],Guaiyl Acetate,134-28-1,,MySkinRecipes,39980.0,THB (per kg),39.98
Guaiyl Acetate [PerfumersWorld],Guaiyl Acetate,134-28-1,,PerfumersWorld,0.95,USD (per g),32.3
Habanolide [MySkinRecipes],Habanolide,111879-80-2,,MySkinRecipes,7450.0,THB (per kg),7.45
Hedione [PerfumersWorld],Hedione,24851-98-7,,PerfumersWorld,0.15,USD (per g),5.1
Hedione High Cis [PerfumersWorld],Hedione High Cis,24851-98-7,,PerfumersWorld,1.0,USD (per g),34.0
